[datetime.date(2013, 1, 18), '4', '2', '36', '36', '5', None, '5', '24', '190']
[datetime.date(2013, 1, 17), '4', '1', '79', '79', '4', None, '4', '17', '151']
[datetime.date(2013, 1, 16), '3', '1', '32', '32', '5', None, '11', '15', '124']
[datetime.date(2013, 1, 15), '5', '3', '31', '31', '10', None, '10', '14', '126']
[datetime.date(2013, 1, 14), '4', '3', '46', '46', '10', None, '10', '22', '141']
[datetime.date(2013, 1, 13), '4', '1', '20', '20', '1', None, '1', '22', '183']
[datetime.date(2013, 1, 12), '2', '3', '32', '32', '10', None, '11', '20', '130']
[datetime.date(2013, 1, 11), '5', '3', '49', '49', '10', '1', '10', '20', None]
[datetime.date(2013, 1, 10), '10', None, '43', '43', '8', None, '13', '22', '164']
[datetime.date(2013, 1, 9), '3', '3', '33', '33', '6', '1', '8', '14', '198']
[datetime.date(2013, 1, 8), '1', '3', '37', '37', '4', None, '4', '10', '194']
[datetime.date(2013, 1, 7), '5', '2', '60', '60', '5', None, '7', '13', '109']
[datetime.date(2013, 1, 6), '1', '5', '23', '23', '8', '1', '10', '18', '77']
[datetime.date(2013, 1, 5), '1', '2', '46', '46', '7', None, '9', '13', '64']
[datetime.date(2013, 1, 4), None, '3', '46', '46', '17', None, '23', '8', '129']
[datetime.date(2013, 1, 3), '4', '6', '39', '39', '18', '3', '19', '11', '116']
[datetime.date(2013, 1, 2), '2', '4', '50', '50', '9', '2', '9', '18', '147']
[datetime.date(2013, 1, 1), '3', '6', '32', '32', '4', '1', '5', '29', '34']
[datetime.date(2012, 12, 31), '5', '4', '56', '56', '14', '1', '17', '9', '150']
[datetime.date(2012, 12, 30), None, '4', '45', '45', '7', None, '8', '21', None]
[datetime.date(2012, 12, 29), '1', '2', '33', '33', '7', '3', '7', '10', '112']
[datetime.date(2012, 12, 28), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 12, 27), '8', '5', '43', '43', '14', '1', '14', '48', '122']
[datetime.date(2012, 12, 26), '1', '5', '32', '32', '4', None, '6', '13', '45']
[datetime.date(2012, 12, 25), '3', '1', '18', '18', '4', '1', '7', '14', '53']
[datetime.date(2012, 12, 24), '5', '3', '25', '25', '9', '3', '9', '10', '104']
[datetime.date(2012, 12, 23), '2', '2', '24', '24', '6', None, '10', '18', '148']
[datetime.date(2012, 12, 22), '4', '3', '32', '32', '8', '1', '7', '24', '109']
[datetime.date(2012, 12, 21), '4', '1', '41', '41', '8', '1', '8', '20', '144']
[datetime.date(2012, 12, 20), '1', '3', '49', '49', '7', '1', '7', '16', '163']
[datetime.date(2012, 12, 19), '6', '2', '41', '41', '8', '1', '11', '18', '130']
[datetime.date(2012, 12, 18), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 12, 17), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 12, 16), '9', '5', '44', '44', '6', '2', '5', '30', '100']
[datetime.date(2012, 12, 15), '1', '8', '42', '42', '12', '1', '11', '29', '105']
[datetime.date(2012, 12, 14), '3', '3', '43', '43', '10', '2', '8', '36', '168']
[datetime.date(2012, 12, 13), '3', '6', '50', '50', '5', None, '5', '13', '158']
[datetime.date(2012, 12, 12), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 12, 11), '7', '3', '43', '43', '13', None, '19', '13', '176']
[datetime.date(2012, 12, 10), '6', '2', '48', '48', '10', '1', '11', None, '13']
[datetime.date(2012, 12, 9), '4', '3', '26', '26', '5', None, '7', '21', '77']
[datetime.date(2012, 12, 8), '1', '3', '28', '28', '9', '1', '9', '32', '150']
[datetime.date(2012, 12, 7), '1', '3', '30', '30', '15', '2', '16', '16', '263']
[datetime.date(2012, 12, 6), '8', None, '49', '49', '8', None, '8', '17', '202']
[datetime.date(2012, 12, 5), '3', '6', '45', '45', '10', None, '14', '24', '157']
[datetime.date(2012, 12, 4), '3', '2', '46', '46', '10', '2', '8', '12', '166']
[datetime.date(2012, 12, 3), '5', '1', '57', '57', '10', None, '15', '14', '151']
[datetime.date(2012, 12, 2), '4', '3', '21', '21', '8', None, '10', '33', '63']
[datetime.date(2012, 12, 1), '7', '5', '48', '48', '24', '2', '30', '69', '116']
[datetime.date(2012, 11, 30), '3', '1', '52', '52', '16', None, '19', '31', '183']
[datetime.date(2012, 11, 29), '4', '1', '45', '45', '15', None, '16', '21', '194']
[datetime.date(2012, 11, 28), '5', '2', '56', '56', '7', None, '7', '24', '131']
[datetime.date(2012, 11, 27), '5', '2', '56', '56', '7', None, '7', '24', '132']
[datetime.date(2012, 11, 26), '4', '1', '68', '68', '13', None, '16', '22', '136']
[datetime.date(2012, 11, 25), '1', '6', '38', '38', '5', None, '6', '27', '62']
[datetime.date(2012, 11, 24), '10', '3', '33', '33', '11', '4', '13', '30', '92']
[datetime.date(2012, 11, 23), '8', '2', '46', '46', '11', '1', '11', '29', None]
[datetime.date(2012, 11, 22), '5', '1', '38', '38', '14', None, '14', '22', '150']
[datetime.date(2012, 11, 21), '6', '2', '46', '46', '9', None, '12', '24', '134']
[datetime.date(2012, 11, 20), '5', '3', '49', '49', '5', None, '6', '14', '119']
[datetime.date(2012, 11, 19), '7', '7', '61', '61', '5', '1', '4', '38', '139']
[datetime.date(2012, 11, 18), '5', '3', '41', '41', '7', '1', '15', '37', '66']
[datetime.date(2012, 11, 17), '4', '1', '44', '44', '10', None, '10', '26', '104']
[datetime.date(2012, 11, 16), '1', '3', '49', '49', '9', '2', '15', '30', '156']
[datetime.date(2012, 11, 15), '2', '2', '48', '48', '14', None, '14', '25', '139']
[datetime.date(2012, 11, 14), '5', '4', '37', '37', '11', '1', '12', '35', '155']
[datetime.date(2012, 11, 13), '3', '2', '36', '36', '7', None, '8', '28', '123']
[datetime.date(2012, 11, 12), '6', '3', '39', '39', '9', '2', '8', '77', '162']
