[datetime.date(2013, 2, 2), None, None, None, None, '6', '1', '8', '13', None, '522', '22', '2', '1', '4']
[datetime.date(2013, 2, 1), None, None, None, None, '2', '0', '2', '7', None, '557', '20', '0', '2', '4']
[datetime.date(2013, 1, 31), None, None, None, None, '3', '0', '4', '16', None, '529', '19', '1', '0', '2']
[datetime.date(2013, 1, 30), None, None, None, None, '2', '0', '3', '12', None, '509', '25', '0', '0', '4']
[datetime.date(2013, 1, 29), None, None, None, None, '5', '1', '8', '13', None, '510', '28', '2', '0', '1']
[datetime.date(2013, 1, 28), None, None, None, None, '3', '0', '3', '12', None, '480', '22', '2', '0', '1']
[datetime.date(2013, 1, 27), None, None, None, None, '1', '0', '2', '4', None, '385', '12', '0', '0', '0']
[datetime.date(2013, 1, 26), None, None, None, None, '3', '0', '3', '11', None, '457', '23', '0', '1', '0']
[datetime.date(2013, 1, 25), None, None, None, None, '2', '0', '2', '17', None, '525', '31', '0', '1', '5']
[datetime.date(2013, 1, 24), None, None, None, None, '5', '1', '4', '15', None, '421', '27', '0', '0', '3']
[datetime.date(2013, 1, 23), None, None, None, None, '5', '0', '6', '8', None, '482', '22', '0', '0', '1']
[datetime.date(2013, 1, 22), None, None, None, None, '5', '1', '6', '8', None, '412', '21', '1', '0', '2']
[datetime.date(2013, 1, 21), None, None, None, None, '2', '0', '2', '3', None, '438', '6', '0', '0', '1']
[datetime.date(2013, 1, 20), None, None, None, None, '1', '1', '1', '11', None, '405', '23', '0', '0', '0']
[datetime.date(2013, 1, 19), None, None, None, None, '1', '0', '1', '17', None, '477', '25', '1', '0', '0']
[datetime.date(2013, 1, 18), None, None, None, None, '3', '0', '3', '10', None, '470', '14', '0', '1', '1']
[datetime.date(2013, 1, 17), None, None, None, None, '5', '0', '6', '8', None, '459', '21', '0', '1', '0']
[datetime.date(2013, 1, 16), None, None, None, None, '3', '0', '3', '10', None, '454', '16', '1', '0', '1']
[datetime.date(2013, 1, 15), None, None, None, None, '5', '1', '4', '15', None, '509', '18', '1', '2', '1']
[datetime.date(2013, 1, 14), None, None, None, None, '6', '0', '7', '5', None, '417', '9', '0', '1', '1']
[datetime.date(2013, 1, 13), None, None, None, None, '4', '0', '6', '15', None, '374', '22', '1', '0', '1']
[datetime.date(2013, 1, 12), None, None, None, None, '2', '1', '2', '10', None, '444', '17', '0', '2', '1']
[datetime.date(2013, 1, 11), None, None, None, None, '3', '0', '3', '11', None, '539', '16', '0', '4', '0']
[datetime.date(2013, 1, 10), None, None, None, None, '4', '2', '3', '8', None, '469', '16', '0', '3', '0']
[datetime.date(2013, 1, 9), None, None, None, None, '6', '0', '7', '9', None, '446', '17', '0', '1', '3']
[datetime.date(2013, 1, 8), None, None, None, None, '5', '0', '5', '11', None, '449', '19', '1', '1', '0']
[datetime.date(2013, 1, 7), None, None, None, None, '1', '0', '1', '10', None, '394', '19', '0', '0', '0']
[datetime.date(2013, 1, 6), None, None, None, None, '0', '0', '0', '12', None, '214', '18', '0', '1', '0']
[datetime.date(2013, 1, 5), None, None, None, None, '1', '0', '2', '11', None, '480', '22', '0', '2', '0']
[datetime.date(2013, 1, 4), None, None, None, None, '3', '0', '3', '8', None, '428', '23', '0', '2', '2']
[datetime.date(2013, 1, 3), None, None, None, None, '6', '1', '6', '6', None, '431', '9', '1', '1', '0']
[datetime.date(2013, 1, 2), None, None, None, None, '1', '0', '1', '7', None, '423', '12', '2', '1', '0']
[datetime.date(2013, 1, 1), None, None, None, None, '3', '0', '3', '20', None, '659', '30', '0', '0', '0']
[datetime.date(2012, 12, 31), None, None, None, None, '8', '0', '12', '17', None, '429', '19', '0', '0', '1']
[datetime.date(2012, 12, 30), None, None, None, None, '5', '1', '4', '14', None, '446', '24', '2', '0', '0']
[datetime.date(2012, 12, 29), None, None, None, None, '4', '1', '3', '12', None, '496', '12', '0', '1', '0']
[datetime.date(2012, 12, 28), None, None, None, None, '7', '0', '11', '6', None, '543', '12', '0', '1', '1']
[datetime.date(2012, 12, 27), None, None, None, None, '8', '0', '14', '10', None, '620', '25', '0', '0', '0']
[datetime.date(2012, 12, 26), None, None, None, None, '3', '0', '3', '12', None, '457', '17', '0', '0', '0']
[datetime.date(2012, 12, 25), None, None, None, None, '2', '0', '2', '10', None, '379', '16', '1', '0', '0']
[datetime.date(2012, 12, 24), None, None, None, None, '3', '0', '4', '5', None, '389', '8', '0', '1', '3']
[datetime.date(2012, 12, 23), None, None, None, None, '0', '0', '0', '7', None, '540', '13', '0', '2', '0']
[datetime.date(2012, 12, 22), None, None, None, None, '4', '0', '5', '8', None, '496', '12', '0', '0', '1']
[datetime.date(2012, 12, 21), None, None, None, None, '5', '0', '7', '8', None, '606', '16', '0', '3', '0']
[datetime.date(2012, 12, 20), None, None, None, None, '3', '1', '2', '9', None, '480', '15', '0', '2', '1']
[datetime.date(2012, 12, 19), None, None, None, None, '5', '0', '8', '11', None, '498', '16', '0', '3', '2']
[datetime.date(2012, 12, 18), None, None, None, None, '8', '0', '9', '6', None, '482', '16', '0', '1', '2']
[datetime.date(2012, 12, 17), None, None, None, None, '3', '0', '3', '10', None, '490', '20', '0', '0', '2']
[datetime.date(2012, 12, 16), None, None, None, None, '5', '0', '5', '10', None, '480', '19', '2', '0', '0']
[datetime.date(2012, 12, 15), None, None, None, None, '3', '0', '3', '11', None, '446', '19', '0', '0', '0']
[datetime.date(2012, 12, 14), None, None, None, None, '4', '1', '4', '18', None, '474', '22', '0', '2', '1']
[datetime.date(2012, 12, 13), None, None, None, None, '3', '0', '5', '12', None, '472', '19', '0', '3', '5']
[datetime.date(2012, 12, 12), None, None, None, None, None, None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 12, 11), None, None, None, None, '4', '0', '4', '10', None, '460', '20', '0', '1', '0']
[datetime.date(2012, 12, 10), None, None, None, None, '2', '1', '1', '10', None, '449', '16', '0', '1', '0']
[datetime.date(2012, 12, 9), None, None, None, None, '1', '0', '3', '12', None, '401', '15', '0', '0', '0']
[datetime.date(2012, 12, 8), None, None, None, None, '2', '0', '2', '15', None, '514', '21', '1', '0', '1']
[datetime.date(2012, 12, 7), None, None, None, None, '6', '0', '8', '13', None, '517', '18', '1', '1', '3']
[datetime.date(2012, 12, 6), None, None, None, None, '3', '0', '4', '12', None, '470', '22', '0', '0', '0']
[datetime.date(2012, 12, 5), None, None, None, None, '3', '0', '6', '6', None, '455', '14', '0', '1', '0']
[datetime.date(2012, 12, 4), None, None, None, None, '6', '0', '6', '9', None, '439', '10', '0', '0', '0']
[datetime.date(2012, 12, 3), None, None, None, None, '5', '0', '5', '23', None, '488', '37', '0', '0', '0']
[datetime.date(2012, 12, 2), None, None, None, None, '3', '1', '2', '25', None, '496', '40', '0', '0', '0']
[datetime.date(2012, 12, 1), None, None, None, None, '9', '0', '10', '36', None, '721', '44', '0', '3', '1']
[datetime.date(2012, 11, 30), None, None, None, None, '3', '1', '5', '22', None, '529', '33', '3', '1', '3']
[datetime.date(2012, 11, 29), None, None, None, None, '7', '2', '4', '23', None, '552', '41', '2', '0', '2']
[datetime.date(2012, 11, 28), None, None, None, None, '7', '0', '9', '18', None, '535', '27', '0', '0', '4']
[datetime.date(2012, 11, 27), None, None, None, None, '2', '2', '4', '29', None, '504', '44', '3', '0', '3']
[datetime.date(2012, 11, 26), None, None, None, None, '4', '1', '3', '26', None, '548', '35', '0', '0', '6']
[datetime.date(2012, 11, 25), None, None, None, None, '3', '0', '3', '20', None, '544', '25', '0', '0', '0']
[datetime.date(2012, 11, 24), None, None, None, None, '7', '0', '7', '37', None, '626', '46', '0', '0', '0']
[datetime.date(2012, 11, 23), None, None, None, None, '4', '0', '4', '27', None, '602', '35', '0', '5', '11']
[datetime.date(2012, 11, 22), None, None, None, None, '7', '0', '8', '37', None, '554', '51', '0', '3', '3']
[datetime.date(2012, 11, 21), None, None, None, None, '4', '0', '4', '21', None, '512', '32', '1', '0', '8']
[datetime.date(2012, 11, 20), None, None, None, None, '4', '0', '4', '12', None, '520', '28', '0', '1', '3']
[datetime.date(2012, 11, 19), None, None, None, None, '3', '0', '5', '18', None, '626', '24', '1', '0', '1']
[datetime.date(2012, 11, 18), None, None, None, None, '6', '1', '9', '19', None, '505', '31', '1', '0', '1']
[datetime.date(2012, 11, 17), None, None, None, None, '3', '1', '7', '30', None, '564', '33', '0', '0', '4']
[datetime.date(2012, 11, 16), None, None, None, None, '4', '0', '6', '21', None, '524', '41', '0', '2', '9']
[datetime.date(2012, 11, 15), None, None, None, None, '8', '1', '12', '18', None, '503', '37', '1', '4', '7']
[datetime.date(2012, 11, 14), None, None, None, None, '3', '1', '2', '20', None, '544', '31', '0', '0', '0']
[datetime.date(2012, 11, 13), None, None, None, None, '5', '0', '5', '18', None, '533', '27', '0', '0', '0']
[datetime.date(2012, 11, 12), None, None, None, None, '7', '1', '10', '34', None, '593', '45', '0', '0', '6']
[datetime.date(2012, 11, 11), None, None, None, None, '3', '0', '5', '16', None, '467', '36', '4', '0', '0']
[datetime.date(2012, 11, 10), None, None, None, None, '5', '0', '7', '16', None, '625', '25', '1', '2', '0']
[datetime.date(2012, 11, 9), None, None, None, None, '7', '1', '9', '17', None, '592', '21', '1', '2', '6']
[datetime.date(2012, 11, 8), None, None, None, None, '3', '0', '3', '15', None, '523', '34', '0', '2', '2']
[datetime.date(2012, 11, 7), None, None, None, None, '6', '0', '7', '10', None, '497', '23', '1', '5', '3']
[datetime.date(2012, 11, 6), None, None, None, None, '4', '0', '8', '15', None, '491', '25', '0', '1', '3']
[datetime.date(2012, 11, 5), None, None, None, None, '9', '2', '11', '15', None, '509', '36', '1', '0', '3']
[datetime.date(2012, 11, 4), None, None, None, None, '3', '0', '4', '17', None, '524', '35', '1', '0', '0']
[datetime.date(2012, 11, 3), None, None, None, None, '4', '0', '12', '33', None, '554', '43', '0', '1', '0']
[datetime.date(2012, 11, 2), None, None, None, None, '6', '0', '9', '17', None, '552', '28', '0', '0', '3']
[datetime.date(2012, 11, 1), None, None, None, None, '2', '1', '9', '12', None, '394', '22', '0', '0', '0']
[datetime.date(2012, 10, 31), None, None, None, None, '5', '0', '6', '10', None, '555', '26', '1', '3', '2']
[datetime.date(2012, 10, 30), None, None, None, None, '4', '0', '4', '13', None, '459', '22', '2', '0', '0']
[datetime.date(2012, 10, 29), None, None, None, None, '11', '0', '14', '32', None, '539', '45', '0', '0', '1']
[datetime.date(2012, 10, 28), None, None, None, None, '4', '0', '5', '23', None, '365', '37', '1', '0', '0']
[datetime.date(2012, 10, 27), None, None, None, None, '5', '1', '5', '20', None, '520', '31', '0', '0', '0']
[datetime.date(2012, 10, 26), None, None, None, None, '5', '0', '5', '22', None, '572', '29', '1', '7', '4']
[datetime.date(2012, 10, 25), None, None, None, None, '8', '3', '7', '15', None, '479', '36', '0', '0', '12']
[datetime.date(2012, 10, 24), None, None, None, None, '3', '0', '3', '22', None, '507', '41', '1', '2', '4']
[datetime.date(2012, 10, 23), None, None, None, None, '10', '1', '12', '26', None, '448', '47', '0', '0', '5']
[datetime.date(2012, 10, 22), None, None, None, None, '6', '2', '6', '27', None, '511', '39', '2', '1', '1']
[datetime.date(2012, 10, 21), None, None, None, None, '4', '0', '4', '28', None, '508', '44', '1', '0', '2']
[datetime.date(2012, 10, 20), None, None, None, None, '2', '1', '2', '25', None, '545', '41', '1', '3', '0']
[datetime.date(2012, 10, 19), None, None, None, None, '6', '0', '6', '19', None, '557', '34', '1', '1', '5']
[datetime.date(2012, 10, 18), None, None, None, None, '3', '0', '3', '28', None, '550', '41', '0', '0', '1']
[datetime.date(2012, 10, 17), None, None, None, None, '5', '0', '5', '23', None, '466', '33', '1', '3', '4']
[datetime.date(2012, 10, 16), None, None, None, None, '5', '0', '5', '23', None, '485', '36', '3', '0', '5']
[datetime.date(2012, 10, 15), None, None, None, None, '4', '1', '3', '31', None, '505', '48', '0', '1', '1']
[datetime.date(2012, 10, 14), None, None, None, None, '0', '0', '0', '34', None, '248', '48', '1', '0', '0']
[datetime.date(2012, 10, 13), None, None, None, None, '8', '1', '10', '30', None, '572', '43', '1', '0', '1']
[datetime.date(2012, 10, 12), None, None, None, None, '7', '0', '8', '32', None, '537', '61', '1', '1', '8']
[datetime.date(2012, 10, 11), None, None, None, None, '6', '0', '6', '21', None, '496', '34', '3', '0', '6']
[datetime.date(2012, 10, 10), None, None, None, None, '2', '0', '2', '22', None, '433', '53', '2', '1', '0']
[datetime.date(2012, 10, 9), None, None, None, None, '4', '1', '3', '22', None, '472', '36', '0', '0', '0']
[datetime.date(2012, 10, 8), None, None, None, None, '10', '1', '11', '14', None, '434', '25', '3', '0', '1']
[datetime.date(2012, 10, 7), None, None, None, None, '6', '0', '10', '17', None, '441', '30', '1', '0', '1']
[datetime.date(2012, 10, 6), None, None, None, None, '3', '0', '4', '29', None, '565', '35', '1', '0', '4']
[datetime.date(2012, 10, 5), None, None, None, None, '4', '0', '4', '17', None, '583', '32', '10', '0', '4']
[datetime.date(2012, 10, 4), None, None, None, None, '3', '0', '4', '28', None, '482', '50', '1', '0', '4']
[datetime.date(2012, 10, 3), None, None, None, None, '8', '0', '15', '17', None, '510', '28', '2', '1', '1']
[datetime.date(2012, 10, 2), None, None, None, None, '7', '1', '8', '13', None, '503', '23', '0', '1', '0']
[datetime.date(2012, 10, 1), None, None, None, None, '6', '0', '6', '21', None, '525', '33', '0', '0', '0']
[datetime.date(2012, 9, 30), None, None, None, None, '9', '2', '8', '29', None, '544', '43', '3', '0', '2']
[datetime.date(2012, 9, 29), None, None, None, None, '8', '2', '9', '21', None, '673', '33', '1', '2', '0']
[datetime.date(2012, 9, 28), None, None, None, None, '4', '0', '5', '17', None, '637', '39', '0', '1', '5']
[datetime.date(2012, 9, 27), None, None, None, None, '5', '1', '7', '21', None, '527', '34', '0', '1', '3']
[datetime.date(2012, 9, 26), None, None, None, None, '9', '0', '10', '20', None, '494', '35', '1', '0', '0']
[datetime.date(2012, 9, 25), None, None, None, None, '5', '1', '5', '14', None, '512', '28', '3', '0', '2']
[datetime.date(2012, 9, 24), None, None, None, None, '10', '1', '9', '15', None, '462', '26', '2', '0', '1']
[datetime.date(2012, 9, 23), None, None, None, None, '4', '3', '6', '14', None, '445', '33', '0', '0', '1']
[datetime.date(2012, 9, 22), None, None, None, None, '4', '1', '4', '16', None, '492', '24', '1', '0', '1']
[datetime.date(2012, 9, 21), None, None, None, None, '2', '0', '2', '7', None, '515', '13', '1', '2', '2']
[datetime.date(2012, 9, 20), None, None, None, None, '7', '1', '9', '20', None, '479', '30', '1', '0', '5']
[datetime.date(2012, 9, 19), None, None, None, None, '4', '0', '4', '13', None, '460', '23', '2', '1', '0']
