,,,,,,,
,,,,,,,
Rok zdarzenia:<Wszystkie>,2013r.,,,,,,
,,,,,,,
,,,Liczba Zdarzen,Liczba Wypadkow,Liczba Zabitych,Liczba Rannych,Liczba Kolizji
,,2013/02/08,68,5,2,4,63
,,2013/02/09,38,1,0,2,37
,,2013/02/10,34,4,3,9,30
,,2013/02/11,43,2,0,4,41
,,2013/02/12,41,2,0,2,39
,,2013/02/13,45,1,0,1,44
,,2013/02/14,39,0,0,0,39
,,2013/02/15,50,2,2,2,48
,,2013/02/16,46,5,1,6,41
,,2013/02/17,24,1,0,1,23
,,2013/02/18,32,0,0,0,32
,,2013/02/19,93,1,0,2,92
,,2013/02/20,58,4,1,3,54
,,2013/02/21,38,2,0,4,36
,,2013/02/22,74,7,2,9,67
,,2013/02/23,50,1,0,3,49
,,2013/02/24,34,0,0,0,34
,,2013/02/25,41,2,1,1,39
,,2013/02/26,54,4,1,6,50
,,2013/02/27,44,1,0,2,43
,,2013/02/28,54,0,0,0,54
,WOJ. LUBUSKIE,,1767,101,19,142,1666
,,2013/01/01,12,3,0,7,9
,,2013/01/02,26,2,0,6,24
,,2013/01/03,32,3,0,3,29
,,2013/01/04,28,2,0,2,26
,,2013/01/05,22,1,0,1,21
,,2013/01/06,15,1,0,4,14
,,2013/01/07,35,1,0,1,34
,,2013/01/08,23,1,0,1,22
,,2013/01/09,19,2,0,3,17
,,2013/01/10,35,4,2,3,31
,,2013/01/11,42,3,1,6,39
,,2013/01/12,34,0,0,0,34
,,2013/01/13,18,1,0,1,17
,,2013/01/14,47,2,0,3,45
,,2013/01/15,24,1,1,0,23
,,2013/01/16,18,0,0,0,18
,,2013/01/17,27,2,1,1,25
,,2013/01/18,22,3,1,2,19
,,2013/01/19,20,0,0,0,20
,,2013/01/20,11,1,1,0,10
,,2013/01/21,31,2,0,5,29
,,2013/01/22,30,0,0,0,30
,,2013/01/23,26,1,1,0,25
,,2013/01/24,22,0,0,0,22
,,2013/01/25,30,0,0,0,30
,,2013/01/26,20,1,0,1,19
,,2013/01/27,18,0,0,0,18
,,2013/01/28,32,1,0,1,31
,,2013/01/29,29,2,0,3,27
,,2013/01/30,37,1,0,1,36
,,2013/01/31,38,0,0,0,38
,,2013/02/01,33,1,0,1,32
,,2013/02/02,27,1,0,1,26
,,2013/02/03,17,0,0,0,17
,,2013/02/04,35,2,0,2,33
,,2013/02/05,88,7,3,13,81
,,2013/02/06,49,3,1,4,46
,,2013/02/07,45,4,0,9,41
,,2013/02/08,50,1,0,1,49
,,2013/02/09,20,4,2,3,16
,,2013/02/10,12,1,0,5,11
,,2013/02/11,25,3,0,3,22
,,2013/02/12,44,1,0,1,43
,,2013/02/13,34,3,0,7,31
,,2013/02/14,29,3,0,5,26
,,2013/02/15,39,1,0,1,38
,,2013/02/16,23,0,0,0,23
,,2013/02/17,20,0,0,0,20
,,2013/02/18,27,1,0,1,26
,,2013/02/19,70,5,2,7,65
,,2013/02/20,48,3,0,3,45
,,2013/02/21,28,2,0,5,26
,,2013/02/22,35,3,1,2,32
,,2013/02/23,39,3,0,4,36
,,2013/02/24,18,0,0,0,18
,,2013/02/25,31,3,1,3,28
,,2013/02/26,20,2,0,2,18
,,2013/02/27,15,0,0,0,15
,,2013/02/28,23,3,1,4,20
,WOJ. ŁÓDZKIE,,4319,383,31,460,3936
,,2013/01/01,26,3,1,5,23
,,2013/01/02,46,7,2,8,39
,,2013/01/03,66,6,0,9,60
,,2013/01/04,61,5,0,6,56
,,2013/01/05,45,6,2,7,39
,,2013/01/06,39,1,0,1,38
,,2013/01/07,71,7,1,7,64
,,2013/01/08,63,8,2,9,55
,,2013/01/09,62,7,0,7,55
,,2013/01/10,76,15,0,18,61
,,2013/01/11,88,11,0,11,77
,,2013/01/12,104,6,1,6,98
,,2013/01/13,62,14,0,17,48
,,2013/01/14,90,7,1,9,83
,,2013/01/15,62,7,0,10,55
,,2013/01/16,76,7,1,6,69
,,2013/01/17,65,4,1,3,61
,,2013/01/18,78,10,0,12,68
,,2013/01/19,80,6,0,9,74
,,2013/01/20,37,10,1,12,27
,,2013/01/21,86,4,0,4,82
,,2013/01/22,101,7,0,8,94
,,2013/01/23,84,6,0,7,78
,,2013/01/24,80,6,0,6,74
,,2013/01/25,76,9,1,8,67
,,2013/01/26,57,8,0,11,49
,,2013/01/27,35,4,1,4,31
,,2013/01/28,84,9,1,12,75
,,2013/01/29,97,7,0,9,90
,,2013/01/30,196,5,1,4,191
,,2013/01/31,175,6,0,6,169
,,2013/02/01,121,4,1,4,117
,,2013/02/02,82,7,1,7,75
,,2013/02/03,49,5,2,4,44
,,2013/02/04,77,6,0,6,71
,,2013/02/05,94,7,1,6,87
,,2013/02/06,70,2,0,4,68
,,2013/02/07,75,6,0,6,69
,,2013/02/08,112,12,2,12,100
,,2013/02/09,55,2,0,2,53
,,2013/02/10,31,6,0,6,25
,,2013/02/11,71,1,0,3,70
,,2013/02/12,58,4,1,4,54
,,2013/02/13,49,4,0,6,45
,,2013/02/14,71,11,1,24,60
,,2013/02/15,79,13,1,16,66
,,2013/02/16,64,8,0,8,56
,,2013/02/17,35,3,0,5,32
,,2013/02/18,45,4,1,3,41
,,2013/02/19,151,14,1,23,137
,,2013/02/20,109,5,0,5,104
,,2013/02/21,63,5,0,8,58
,,2013/02/22,86,7,0,11,79
,,2013/02/23,57,4,0,6,53
,,2013/02/24,31,3,0,6,28
,,2013/02/25,53,7,0,11,46
,,2013/02/26,69,7,1,6,62
,,2013/02/27,42,3,1,2,39
,,2013/02/28,52,5,0,5,47
,WOJ. MAŁOPOLSKIE,,4609,412,27,494,4197
,,2013/01/01,41,8,2,11,33
,,2013/01/02,103,15,0,18,88
,,2013/01/03,95,22,2,22,73
,,2013/01/04,83,9,1,9,74
,,2013/01/05,52,5,0,6,47
,,2013/01/06,59,6,0,7,53
,,2013/01/07,65,4,0,7,61
,,2013/01/08,80,6,1,7,74
,,2013/01/09,82,11,1,12,71
,,2013/01/10,102,3,0,4,99
,,2013/01/11,120,7,0,7,113
,,2013/01/12,58,4,0,5,54
,,2013/01/13,60,8,3,15,52
,,2013/01/14,69,8,0,8,61
,,2013/01/15,71,4,0,8,67
,,2013/01/16,92,10,0,12,82
,,2013/01/17,74,10,0,12,64
,,2013/01/18,104,10,0,13,94
,,2013/01/19,59,4,1,6,55
,,2013/01/20,50,6,0,7,44
,,2013/01/21,100,9,0,10,91
,,2013/01/22,71,5,0,5,66
,,2013/01/23,68,5,1,4,63
,,2013/01/24,70,6,0,6,64
,,2013/01/25,81,5,0,5,76
,,2013/01/26,60,3,1,2,57
,,2013/01/27,47,3,0,3,44
,,2013/01/28,94,1,0,2,93
,,2013/01/29,67,7,1,6,60
,,2013/01/30,81,13,0,20,68
,,2013/01/31,84,12,2,10,72
,,2013/02/01,78,6,0,6,72
,,2013/02/02,69,7,0,10,62
,,2013/02/03,65,6,0,9,59
,,2013/02/04,72,7,0,9,65
,,2013/02/05,89,11,0,14,78
,,2013/02/06,109,6,0,8,103
,,2013/02/07,200,12,1,15,188
,,2013/02/08,88,5,0,5,83
,,2013/02/09,62,1,0,1,61
,,2013/02/10,45,5,0,8,40
,,2013/02/11,86,5,0,6,81
,,2013/02/12,67,7,0,7,60
,,2013/02/13,87,7,1,9,80
,,2013/02/14,102,8,1,10,94
,,2013/02/15,98,6,0,7,92
,,2013/02/16,52,4,1,3,48
,,2013/02/17,49,4,1,4,45
,,2013/02/18,76,7,1,10,69
,,2013/02/19,93,8,0,8,85
,,2013/02/20,111,12,0,13,99
,,2013/02/21,79,5,1,8,74
,,2013/02/22,125,11,1,14,114
,,2013/02/23,61,7,1,7,54
,,2013/02/24,41,4,1,4,37
,,2013/02/25,69,5,0,6,64
,,2013/02/26,66,4,0,4,62
,,2013/02/27,54,10,1,16,44
,,2013/02/28,74,3,0,4,71
,WOJ. MAZOWIECKIE,,7890,530,58,635,7360
,,2013/01/01,55,9,1,9,46
,,2013/01/02,113,5,1,5,108
,,2013/01/03,121,16,3,14,105
,,2013/01/04,102,7,2,5,95
,,2013/01/05,69,10,1,9,59
,,2013/01/06,41,5,1,4,36
,,2013/01/07,86,12,1,13,74
,,2013/01/08,98,7,1,6,91
,,2013/01/09,130,10,0,12,120
,,2013/01/10,190,19,2,20,171
,,2013/01/11,151,20,1,26,131
,,2013/01/12,162,12,0,17,150
,,2013/01/13,97,9,1,15,88
,,2013/01/14,159,17,0,27,142
,,2013/01/15,130,10,0,11,120
,,2013/01/16,159,6,0,9,153
,,2013/01/17,139,7,1,12,132
,,2013/01/18,154,15,0,15,139
,,2013/01/19,157,2,0,5,155
,,2013/01/20,62,5,0,6,57
,,2013/01/21,142,5,1,5,137
,,2013/01/22,146,16,2,18,130
,,2013/01/23,157,7,1,9,150
,,2013/01/24,198,10,0,11,188
,,2013/01/25,160,9,2,7,151
,,2013/01/26,81,4,0,5,77
,,2013/01/27,57,3,0,11,54
,,2013/01/28,118,7,2,6,111
,,2013/01/29,133,13,3,13,120
,,2013/01/30,176,12,3,10,164
,,2013/01/31,202,10,0,14,192
,,2013/02/01,173,10,1,10,163
,,2013/02/02,151,10,1,15,141
,,2013/02/03,77,5,0,8,72
,,2013/02/04,151,7,0,9,144
,,2013/02/05,185,12,0,17,173
,,2013/02/06,135,12,2,18,123
,,2013/02/07,247,9,1,9,238
,,2013/02/08,177,13,0,20,164
,,2013/02/09,118,8,2,7,110
,,2013/02/10,69,6,1,6,63
,,2013/02/11,146,4,0,5,142
,,2013/02/12,148,10,1,11,138
,,2013/02/13,142,7,0,8,135
,,2013/02/14,177,14,4,12,163
,,2013/02/15,135,4,3,6,131
,,2013/02/16,94,8,4,8,86
,,2013/02/17,69,5,1,5,64
,,2013/02/18,135,10,0,15,125
,,2013/02/19,226,12,1,18,214
,,2013/02/20,230,15,1,22,215
,,2013/02/21,135,9,1,12,126
,,2013/02/22,145,7,0,8,138
,,2013/02/23,101,8,0,9,93
,,2013/02/24,66,5,1,6,61
,,2013/02/25,117,9,0,10,108
,,2013/02/26,120,5,0,8,115
,,2013/02/27,124,3,1,2,121
,,2013/02/28,152,4,2,2,148
